,"(p,d,q,P,D,Q,s)",AIC
329,"(1, 1, 3, 0, 1, 1, 12)",279.77444153793806
330,"(1, 1, 1, 4, 1, 4, 12)",279.8044375568235
331,"(2, 1, 1, 1, 1, 2, 12)",279.8336878288957
332,"(0, 1, 3, 4, 1, 3, 12)",279.85744028939257
333,"(0, 1, 4, 1, 1, 0, 12)",279.8623867013916
334,"(3, 1, 1, 3, 1, 2, 12)",279.88146536318607
335,"(0, 1, 2, 4, 1, 3, 12)",279.8870951797825
336,"(1, 1, 4, 4, 1, 4, 12)",279.8943856819014
337,"(2, 1, 0, 2, 1, 4, 12)",279.89786728890846
338,"(1, 1, 1, 4, 1, 0, 12)",279.9082962959605
339,"(4, 1, 1, 4, 1, 2, 12)",279.9252256783926
340,"(3, 1, 4, 4, 1, 3, 12)",279.93235945866496
341,"(1, 1, 2, 0, 1, 4, 12)",279.94841540828486
342,"(4, 1, 0, 2, 1, 3, 12)",279.9588065670667
343,"(3, 1, 0, 1, 1, 4, 12)",280.0035866051458
344,"(1, 1, 4, 4, 1, 0, 12)",280.0384591848335
345,"(3, 1, 4, 4, 1, 1, 12)",280.04285048121073
346,"(0, 1, 3, 4, 1, 4, 12)",280.06110523079906
347,"(2, 1, 3, 1, 1, 2, 12)",280.0837289066293
348,"(4, 1, 1, 4, 1, 3, 12)",280.0846155913265
349,"(4, 1, 2, 4, 1, 4, 12)",280.12414223685767
350,"(2, 1, 0, 3, 1, 3, 12)",280.1308277664657
351,"(1, 1, 1, 2, 1, 2, 12)",280.13393331331065
352,"(0, 1, 3, 4, 1, 0, 12)",280.1425316858398
353,"(0, 1, 2, 4, 1, 0, 12)",280.1425625201948
354,"(2, 1, 0, 0, 1, 1, 12)",280.1507990120584
355,"(2, 1, 2, 3, 1, 3, 12)",280.16951906973935
356,"(2, 1, 2, 0, 1, 3, 12)",280.17766454081243
357,"(2, 1, 0, 2, 1, 1, 12)",280.1842901418056
358,"(3, 1, 4, 3, 1, 2, 12)",280.19582727776617
359,"(0, 1, 2, 4, 1, 4, 12)",280.2045866386387
360,"(3, 1, 1, 4, 1, 2, 12)",280.2082606045509
361,"(1, 1, 4, 2, 1, 2, 12)",280.2140221115992
362,"(1, 1, 2, 2, 1, 1, 12)",280.26070560751197
363,"(4, 1, 3, 0, 1, 2, 12)",280.2770398371848
364,"(1, 1, 2, 3, 1, 0, 12)",280.27975681191003
365,"(3, 1, 2, 4, 1, 3, 12)",280.28298688331427
366,"(3, 1, 3, 2, 1, 3, 12)",280.28841232355165
367,"(1, 1, 2, 1, 1, 2, 12)",280.28984205546203
368,"(1, 1, 1, 3, 1, 1, 12)",280.2985300408367
369,"(1, 1, 4, 3, 1, 1, 12)",280.30456366014835
370,"(4, 1, 3, 4, 1, 0, 12)",280.30925337915716
371,"(2, 1, 3, 3, 1, 3, 12)",280.3407526938306
372,"(1, 1, 3, 2, 1, 0, 12)",280.34541795429175
373,"(2, 1, 1, 4, 1, 3, 12)",280.3526302523454
374,"(2, 1, 0, 3, 1, 0, 12)",280.3782120295427
375,"(0, 1, 2, 2, 1, 2, 12)",280.41151148654745
