,"(p,d,q,P,D,Q,s)",AIC
216,"(1, 1, 3, 0, 1, 3, 12)",904.001463449442
217,"(1, 1, 2, 1, 1, 0, 12)",904.0095354832342
218,"(2, 1, 1, 1, 1, 0, 12)",904.0190695882088
219,"(1, 1, 2, 2, 1, 0, 12)",904.0342520909513
220,"(2, 1, 1, 2, 1, 0, 12)",904.036164374567
221,"(2, 1, 0, 0, 1, 3, 12)",904.0416654178028
222,"(1, 1, 2, 0, 1, 1, 12)",904.2042145934702
223,"(2, 1, 1, 0, 1, 1, 12)",904.2142629662782
224,"(0, 1, 0, 2, 1, 1, 12)",904.235575014785
225,"(1, 1, 2, 0, 1, 2, 12)",904.2381221880333
226,"(2, 1, 1, 0, 1, 2, 12)",904.2382673097537
227,"(3, 1, 3, 0, 1, 3, 12)",904.3071144760935
228,"(0, 1, 2, 3, 1, 0, 12)",904.3283627063786
229,"(2, 1, 3, 3, 1, 0, 12)",904.4697530586619
230,"(3, 1, 0, 3, 1, 0, 12)",904.5710344581676
231,"(2, 1, 3, 0, 1, 3, 12)",904.7355783639063
232,"(0, 1, 2, 0, 1, 3, 12)",904.9466522796354
233,"(3, 1, 1, 3, 1, 0, 12)",904.9781929941398
234,"(0, 1, 0, 0, 1, 0, 12)",905.0652099001694
235,"(3, 1, 0, 0, 1, 3, 12)",905.0784143804735
236,"(3, 1, 2, 2, 1, 0, 12)",905.0803201428728
237,"(0, 1, 0, 3, 1, 3, 12)",905.214940044577
238,"(0, 1, 0, 1, 1, 0, 12)",905.2258749831814
239,"(3, 1, 2, 0, 1, 2, 12)",905.2799077383618
240,"(1, 1, 2, 3, 1, 0, 12)",905.284655611882
241,"(2, 1, 1, 3, 1, 0, 12)",905.2885369656793
242,"(0, 1, 0, 3, 1, 1, 12)",905.3080529174234
243,"(0, 1, 0, 0, 1, 1, 12)",905.41888048906
244,"(1, 1, 2, 0, 1, 3, 12)",905.9055066523117
245,"(2, 1, 1, 0, 1, 3, 12)",905.9057168701986
246,"(3, 1, 3, 3, 1, 0, 12)",905.9460542754907
247,"(0, 1, 0, 1, 1, 1, 12)",906.059109159262
248,"(0, 1, 0, 2, 1, 3, 12)",906.8324421328723
249,"(0, 1, 0, 0, 1, 2, 12)",906.8885882986585
250,"(3, 1, 2, 3, 1, 0, 12)",906.8888801197277
251,"(0, 1, 0, 2, 1, 0, 12)",906.940147025428
252,"(3, 1, 2, 0, 1, 3, 12)",907.181875094088
253,"(0, 1, 0, 3, 1, 2, 12)",907.47890927957
254,"(0, 1, 0, 3, 1, 0, 12)",908.7425826272524
255,"(0, 1, 0, 0, 1, 3, 12)",908.7814050483233
