,"(p,d,q,P,D,Q,s)",AIC
238,"(1, 1, 0, 1, 0, 1, 4)",1759.1131386305312
239,"(0, 1, 1, 2, 0, 0, 4)",1759.1524992886439
240,"(0, 1, 0, 3, 0, 1, 4)",1759.1575625914488
241,"(0, 1, 3, 3, 0, 1, 4)",1759.1693067684855
242,"(0, 1, 1, 1, 0, 1, 4)",1759.1811001204524
243,"(1, 1, 0, 2, 0, 1, 4)",1759.4551527026883
244,"(0, 1, 1, 2, 0, 1, 4)",1759.499108359612
245,"(1, 1, 0, 1, 0, 3, 4)",1759.6373915328843
246,"(0, 1, 1, 1, 0, 3, 4)",1759.6580155996758
247,"(1, 1, 0, 1, 0, 2, 4)",1760.072531957123
248,"(0, 1, 1, 1, 0, 2, 4)",1760.1066578017233
249,"(1, 1, 0, 3, 0, 1, 4)",1760.974929036146
250,"(0, 1, 1, 3, 0, 1, 4)",1761.0090493650303
251,"(0, 1, 2, 0, 0, 0, 4)",1761.5790442443613
252,"(0, 1, 3, 0, 0, 0, 4)",1762.3170948414067
253,"(0, 1, 0, 0, 0, 0, 4)",1764.7549795819582
254,"(1, 1, 0, 0, 0, 0, 4)",1765.3794117944603
255,"(0, 1, 1, 0, 0, 0, 4)",1765.8134882913184
